epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6298,4.03396,7.97012,2.07654,0.00016,0.02256,8e-05,1e-05,3.57669,7.14443,1.82904,6e-05,6e-05,6e-05
2,64.1975,3.01707,7.47499,1.2838,0.00069,0.09774,0.00041,9e-05,2.60819,6.38282,1.20474,0.00011228,0.00011228,0.00011228
3,96.0768,2.56512,6.15095,1.07724,0.00159,0.22556,0.00116,0.00029,2.07596,5.85124,0.9859,0.00013288,0.00013288,0.00013288
4,126.863,2.22323,4.60796,1.01621,0.00233,0.33083,0.00191,0.0006,1.8561,5.52454,0.95117,0.0001218,0.0001218,0.0001218
5,157.969,2.08343,4.49956,1.01644,0.00212,0.30075,0.00166,0.00058,1.83727,5.49467,0.95169,7.904e-05,7.904e-05,7.904e-05
