ID,Frame,X,Y
1,0,895.0,454.0
2,0,55.0,426.0
3,0,580.0,160.0
3,1,582.1818,159.09091
3,2,583.493,157.94366
3,3,585.97687,152.10106
3,4,575.21014,153.39319
3,5,565.77,152.6899
3,6,560.09375,154.75175
4,0,495.0,79.0
